id;email;necessary;analytics;marketing;preferences
1;Marceline.Royer0@hotmail.fr;false;false;false;true
2;Asterie.Bernard52@yahoo.fr;false;false;true;false
3;Nine87@yahoo.fr;true;false;true;false
4;Taurin3@gmail.com;false;false;false;true
5;Aldegonde.Barre@yahoo.fr;false;true;true;false
6;Bertrand36@yahoo.fr;false;false;false;false
7;Yvette_Leroy11@gmail.com;false;true;false;false
8;Robert.Laurent@hotmail.fr;true;true;false;true
9;Clotilde.Henry51@hotmail.fr;false;true;false;true
10;Angadreme_Marty59@yahoo.fr;true;false;false;true
